,review,gpt_sentiment,rating,score,sentiment
249,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
250,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
251,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
252,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
253,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
254,The design is bland and lacks personality.,Negative,1,0.0,neutral
255,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
256,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
257,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
258,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
259,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
260,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
261,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
262,The stitching came undone after a week of use.,Negative,1,0.0,neutral
263,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
264,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
265,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
266,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
267,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
268,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
269,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
270,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
271,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
272,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
273,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
274,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
275,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
276,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
277,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
278,The design is bland and lacks personality.,Negative,1,0.0,neutral
279,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
280,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
281,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
282,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
283,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
284,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
285,The design is bland and lacks personality.,Negative,1,0.0,neutral
286,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
287,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
288,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
289,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
290,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
291,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
292,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
293,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
294,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
295,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
296,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
297,The stitching came undone after a week of use.,Negative,1,0.0,neutral
298,The stitching came undone after a week of use.,Negative,1,0.0,neutral
299,The design is bland and lacks personality.,Negative,1,0.0,neutral
300,The design is bland and lacks personality.,Negative,1,0.0,neutral
301,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
302,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
303,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
304,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
305,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
306,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
307,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
308,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
309,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
310,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
311,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
312,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
313,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
314,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
315,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
316,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
317,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
318,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
319,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
320,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
321,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
322,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
323,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
324,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
325,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
326,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
327,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
328,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
329,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
330,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
331,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
332,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
333,I appreciate the sustainable materials used; very thoughtful.,Positive,5,0.6801,positive
334,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
335,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
336,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
337,The stitching came undone after a week of use.,Negative,1,0.0,neutral
338,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
339,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
340,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
341,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
342,The design is bland and lacks personality.,Negative,1,0.0,neutral
343,The stitching came undone after a week of use.,Negative,1,0.0,neutral
344,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
345,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
346,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
347,The design is bland and lacks personality.,Negative,1,0.0,neutral
348,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
349,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
350,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
351,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
352,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
353,The stitching came undone after a week of use.,Negative,1,0.0,neutral
354,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
355,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
356,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
357,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
358,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
359,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
360,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
361,The stitching came undone after a week of use.,Negative,1,0.0,neutral
362,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
363,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
364,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
365,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
366,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
367,The design is bland and lacks personality.,Negative,1,0.0,neutral
368,I appreciate the sustainable materials used; very thoughtful.,Positive,5,0.6801,positive
369,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
370,I appreciate the sustainable materials used; very thoughtful.,Positive,5,0.6801,positive
371,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
372,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
373,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
374,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
375,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
376,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
377,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
378,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
379,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
380,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
381,The design is bland and lacks personality.,Negative,1,0.0,neutral
382,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
383,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
384,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
385,I appreciate the sustainable materials used; very thoughtful.,Positive,5,0.6801,positive
386,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
387,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
388,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
389,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
390,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
391,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
392,The design is bland and lacks personality.,Negative,1,0.0,neutral
393,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
394,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
395,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
396,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
397,The stitching came undone after a week of use.,Negative,1,0.0,neutral
398,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
399,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
400,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
401,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
402,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
403,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
404,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
405,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
406,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
407,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
408,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
409,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
410,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
411,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
412,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
413,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
414,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
415,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
416,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
417,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
418,I appreciate the sustainable materials used; very thoughtful.,Positive,5,0.6801,positive
419,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
420,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
421,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
422,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
423,I appreciate the sustainable materials used; very thoughtful.,Positive,5,0.6801,positive
424,The stitching came undone after a week of use.,Negative,1,0.0,neutral
425,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
426,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
427,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
428,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
429,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
430,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
431,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
432,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
433,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
434,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
435,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
436,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
437,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
438,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
439,The design is bland and lacks personality.,Negative,1,0.0,neutral
440,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
441,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
442,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
443,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
444,The stitching came undone after a week of use.,Negative,1,0.0,neutral
445,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
446,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
447,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
448,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
449,The design is bland and lacks personality.,Negative,1,0.0,neutral
450,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
451,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
452,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
453,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
454,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
455,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
456,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
457,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
458,The bag tore after just a few uses; very disappointing.,Negative,1,-0.5413,negative
459,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
460,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
461,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
462,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
463,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
464,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
465,The material feels flimsy and doesn't seem durable.,Negative,1,0.0,neutral
466,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
467,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
468,"Color fades after washing, which is a letdown.",Negative,1,0.0,neutral
469,Durable material that holds up even on rough terrain.,Positive,5,0.0,neutral
470,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
471,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
472,The design is simple yet stylish; I get compliments all the time.,Positive,5,0.4019,positive
473,The stitching came undone after a week of use.,Negative,1,0.0,neutral
474,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
475,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
476,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
477,It doesn't hold up well in wet conditions; water seeps through.,Negative,1,-0.2057,negative
478,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
479,Lightweight and easy to carry during hikes and picnics.,Positive,5,0.4404,positive
480,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
481,The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,0.6077,positive
482,I expected better quality for the price; not worth it.,Negative,1,0.3036,positive
483,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
484,The stitching came undone after a week of use.,Negative,1,0.0,neutral
485,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
486,Handles are uncomfortable and dig into my hands.,Negative,1,-0.3818,negative
487,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
488,The handles are sturdy and comfortable to hold.,Positive,5,0.5106,positive
489,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
490,The color options are fantastic and match any outfit.,Positive,5,0.5574,positive
491,It's not as spacious as advertised; feels small.,Negative,1,0.0,neutral
492,I love that it's eco-friendly; it feels good to support the environment!,Positive,5,0.8777,positive
493,It cleans easily after outdoor adventures; a big plus for me.,Positive,5,0.5859,positive
494,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
495,I appreciate the sustainable materials used; very thoughtful.,Positive,5,0.6801,positive
496,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
497,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
498,The eco-friendly claim seems questionable; no certifications provided.,Negative,1,-0.5267,negative
499,Great for carrying all my gear without feeling heavy.,Positive,5,0.5761,positive
